ROWID,Country,State LGD Code,State,SourceYear,"State wise Macro Nutrient Status for Cycle I, Cycle II ,Cycle III","Fertilizers used in cycle namely Nitrogen, phosphorous, Potassium, organic carbon",Fertilizers level,Count of Nutrient status involved in three cycles,Samples under each cycle,YearCode,Year
199,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VH,13682,19434,2015,"Financial Year (Apr - Mar), 2015"
200,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),H,14399,19434,2015,"Financial Year (Apr - Mar), 2015"
201,India,30,GOA,2015-16,Cycle 1,Organic Carbon (OC),VL,356,24423,2015,"Financial Year (Apr - Mar), 2015"
202,India,30,GOA,2015-16,Cycle 1,Nitrogen (N),VL,401,24423,2015,"Financial Year (Apr - Mar), 2015"
203,India,30,GOA,2015-16,Cycle 1,Phosphorous (P),VH,492,24423,2015,"Financial Year (Apr - Mar), 2015"
204,India,30,GOA,2015-16,Cycle 1,Phosphorous (P),H,593,24423,2015,"Financial Year (Apr - Mar), 2015"
205,India,30,GOA,2015-16,Cycle 1,Potassium (K),VL,876,24423,2015,"Financial Year (Apr - Mar), 2015"
206,India,30,GOA,2015-16,Cycle 1,Nitrogen (N),H,1431,24423,2015,"Financial Year (Apr - Mar), 2015"
207,India,30,GOA,2015-16,Cycle 1,Organic Carbon (OC),L,1953,24423,2015,"Financial Year (Apr - Mar), 2015"
208,India,30,GOA,2015-16,Cycle 1,Organic Carbon (OC),M,2221,24423,2015,"Financial Year (Apr - Mar), 2015"
209,India,30,GOA,2015-16,Cycle 1,Potassium (K),VH,2341,24423,2015,"Financial Year (Apr - Mar), 2015"
210,India,30,GOA,2015-16,Cycle 1,Nitrogen (N),VH,2488,24423,2015,"Financial Year (Apr - Mar), 2015"
211,India,30,GOA,2015-16,Cycle 1,Phosphorous (P),L,3079,24423,2015,"Financial Year (Apr - Mar), 2015"
212,India,30,GOA,2015-16,Cycle 1,Organic Carbon (OC),H,3163,24423,2015,"Financial Year (Apr - Mar), 2015"
213,India,30,GOA,2015-16,Cycle 1,Potassium (K),L,4664,24423,2015,"Financial Year (Apr - Mar), 2015"
214,India,30,GOA,2015-16,Cycle 1,Potassium (K),H,4761,24423,2015,"Financial Year (Apr - Mar), 2015"
215,India,30,GOA,2015-16,Cycle 1,Phosphorous (P),M,5241,24423,2015,"Financial Year (Apr - Mar), 2015"
216,India,30,GOA,2015-16,Cycle 1,Nitrogen (N),L,5652,24423,2015,"Financial Year (Apr - Mar), 2015"
217,India,30,GOA,2015-16,Cycle 1,Potassium (K),M,11369,24423,2015,"Financial Year (Apr - Mar), 2015"
218,India,30,GOA,2015-16,Cycle 1,Nitrogen (N),M,13297,24423,2015,"Financial Year (Apr - Mar), 2015"
219,India,30,GOA,2015-16,Cycle 1,Phosphorous (P),VL,14426,24423,2015,"Financial Year (Apr - Mar), 2015"
220,India,30,GOA,2015-16,Cycle 1,Organic Carbon (OC),VH,16327,24423,2015,"Financial Year (Apr - Mar), 2015"
221,India,16,TRIPURA,2015-16,Cycle 1,Nitrogen (N),VH,0,29728,2015,"Financial Year (Apr - Mar), 2015"
222,India,16,TRIPURA,2015-16,Cycle 1,Potassium (K),VH,17,29728,2015,"Financial Year (Apr - Mar), 2015"
223,India,16,TRIPURA,2015-16,Cycle 1,Nitrogen (N),L,69,29728,2015,"Financial Year (Apr - Mar), 2015"
224,India,16,TRIPURA,2015-16,Cycle 1,Nitrogen (N),VL,108,29728,2015,"Financial Year (Apr - Mar), 2015"
225,India,16,TRIPURA,2015-16,Cycle 1,Nitrogen (N),H,138,29728,2015,"Financial Year (Apr - Mar), 2015"
226,India,16,TRIPURA,2015-16,Cycle 1,Nitrogen (N),M,233,29728,2015,"Financial Year (Apr - Mar), 2015"
227,India,16,TRIPURA,2015-16,Cycle 1,Organic Carbon (OC),VH,268,29728,2015,"Financial Year (Apr - Mar), 2015"
228,India,16,TRIPURA,2015-16,Cycle 1,Phosphorous (P),VL,782,29728,2015,"Financial Year (Apr - Mar), 2015"
229,India,16,TRIPURA,2015-16,Cycle 1,Organic Carbon (OC),VL,1529,29728,2015,"Financial Year (Apr - Mar), 2015"
230,India,16,TRIPURA,2015-16,Cycle 1,Phosphorous (P),VH,1564,29728,2015,"Financial Year (Apr - Mar), 2015"
231,India,16,TRIPURA,2015-16,Cycle 1,Potassium (K),H,2434,29728,2015,"Financial Year (Apr - Mar), 2015"
232,India,16,TRIPURA,2015-16,Cycle 1,Potassium (K),M,2449,29728,2015,"Financial Year (Apr - Mar), 2015"
233,India,16,TRIPURA,2015-16,Cycle 1,Potassium (K),VL,2569,29728,2015,"Financial Year (Apr - Mar), 2015"
234,India,16,TRIPURA,2015-16,Cycle 1,Phosphorous (P),H,4491,29728,2015,"Financial Year (Apr - Mar), 2015"
235,India,16,TRIPURA,2015-16,Cycle 1,Organic Carbon (OC),L,5059,29728,2015,"Financial Year (Apr - Mar), 2015"
236,India,16,TRIPURA,2015-16,Cycle 1,Phosphorous (P),M,7348,29728,2015,"Financial Year (Apr - Mar), 2015"
237,India,16,TRIPURA,2015-16,Cycle 1,Organic Carbon (OC),M,11137,29728,2015,"Financial Year (Apr - Mar), 2015"
238,India,16,TRIPURA,2015-16,Cycle 1,Organic Carbon (OC),H,11566,29728,2015,"Financial Year (Apr - Mar), 2015"
239,India,16,TRIPURA,2015-16,Cycle 1,Phosphorous (P),L,15148,29728,2015,"Financial Year (Apr - Mar), 2015"
240,India,16,TRIPURA,2015-16,Cycle 1,Potassium (K),L,21896,29728,2015,"Financial Year (Apr - Mar), 2015"
241,India,17,MEGHALAYA,2015-16,Cycle 1,Nitrogen (N),VH,1,33962,2015,"Financial Year (Apr - Mar), 2015"
242,India,17,MEGHALAYA,2015-16,Cycle 1,Nitrogen (N),H,6,33962,2015,"Financial Year (Apr - Mar), 2015"
243,India,17,MEGHALAYA,2015-16,Cycle 1,Nitrogen (N),M,88,33962,2015,"Financial Year (Apr - Mar), 2015"
244,India,17,MEGHALAYA,2015-16,Cycle 1,Potassium (K),VH,102,33962,2015,"Financial Year (Apr - Mar), 2015"
245,India,17,MEGHALAYA,2015-16,Cycle 1,Nitrogen (N),VL,142,33962,2015,"Financial Year (Apr - Mar), 2015"
246,India,17,MEGHALAYA,2015-16,Cycle 1,Nitrogen (N),L,173,33962,2015,"Financial Year (Apr - Mar), 2015"
247,India,17,MEGHALAYA,2015-16,Cycle 1,Phosphorous (P),VH,259,33962,2015,"Financial Year (Apr - Mar), 2015"
248,India,17,MEGHALAYA,2015-16,Cycle 1,Phosphorous (P),H,359,33962,2015,"Financial Year (Apr - Mar), 2015"
249,India,17,MEGHALAYA,2015-16,Cycle 1,Organic Carbon (OC),VL,558,33962,2015,"Financial Year (Apr - Mar), 2015"
250,India,17,MEGHALAYA,2015-16,Cycle 1,Potassium (K),H,1928,33962,2015,"Financial Year (Apr - Mar), 2015"
251,India,17,MEGHALAYA,2015-16,Cycle 1,Organic Carbon (OC),L,2009,33962,2015,"Financial Year (Apr - Mar), 2015"
252,India,17,MEGHALAYA,2015-16,Cycle 1,Organic Carbon (OC),M,4304,33962,2015,"Financial Year (Apr - Mar), 2015"
253,India,17,MEGHALAYA,2015-16,Cycle 1,Organic Carbon (OC),H,4487,33962,2015,"Financial Year (Apr - Mar), 2015"
254,India,17,MEGHALAYA,2015-16,Cycle 1,Phosphorous (P),M,6427,33962,2015,"Financial Year (Apr - Mar), 2015"
255,India,17,MEGHALAYA,2015-16,Cycle 1,Potassium (K),M,8713,33962,2015,"Financial Year (Apr - Mar), 2015"
256,India,17,MEGHALAYA,2015-16,Cycle 1,Phosphorous (P),L,9275,33962,2015,"Financial Year (Apr - Mar), 2015"
257,India,17,MEGHALAYA,2015-16,Cycle 1,Potassium (K),VL,9949,33962,2015,"Financial Year (Apr - Mar), 2015"
258,India,17,MEGHALAYA,2015-16,Cycle 1,Potassium (K),L,13223,33962,2015,"Financial Year (Apr - Mar), 2015"
259,India,17,MEGHALAYA,2015-16,Cycle 1,Phosphorous (P),VL,17656,33962,2015,"Financial Year (Apr - Mar), 2015"
260,India,17,MEGHALAYA,2015-16,Cycle 1,Organic Carbon (OC),VH,22187,33962,2015,"Financial Year (Apr - Mar), 2015"
261,India,20,JHARKHAND,2015-16,Cycle 1,Nitrogen (N),VH,874,53944,2015,"Financial Year (Apr - Mar), 2015"
262,India,20,JHARKHAND,2015-16,Cycle 1,Nitrogen (N),H,1304,53944,2015,"Financial Year (Apr - Mar), 2015"
263,India,20,JHARKHAND,2015-16,Cycle 1,Potassium (K),VH,1475,53944,2015,"Financial Year (Apr - Mar), 2015"
264,India,20,JHARKHAND,2015-16,Cycle 1,Phosphorous (P),H,1667,53944,2015,"Financial Year (Apr - Mar), 2015"
265,India,20,JHARKHAND,2015-16,Cycle 1,Phosphorous (P),VH,3382,53944,2015,"Financial Year (Apr - Mar), 2015"
266,India,20,JHARKHAND,2015-16,Cycle 1,Organic Carbon (OC),VL,4726,53944,2015,"Financial Year (Apr - Mar), 2015"
267,India,20,JHARKHAND,2015-16,Cycle 1,Nitrogen (N),VL,4989,53944,2015,"Financial Year (Apr - Mar), 2015"
268,India,20,JHARKHAND,2015-16,Cycle 1,Potassium (K),H,5414,53944,2015,"Financial Year (Apr - Mar), 2015"
269,India,20,JHARKHAND,2015-16,Cycle 1,Potassium (K),VL,7262,53944,2015,"Financial Year (Apr - Mar), 2015"
270,India,20,JHARKHAND,2015-16,Cycle 1,Organic Carbon (OC),H,7558,53944,2015,"Financial Year (Apr - Mar), 2015"
271,India,20,JHARKHAND,2015-16,Cycle 1,Organic Carbon (OC),VH,7841,53944,2015,"Financial Year (Apr - Mar), 2015"
272,India,20,JHARKHAND,2015-16,Cycle 1,Potassium (K),L,11240,53944,2015,"Financial Year (Apr - Mar), 2015"
273,India,20,JHARKHAND,2015-16,Cycle 1,Phosphorous (P),M,11528,53944,2015,"Financial Year (Apr - Mar), 2015"
274,India,20,JHARKHAND,2015-16,Cycle 1,Organic Carbon (OC),M,13206,53944,2015,"Financial Year (Apr - Mar), 2015"
275,India,20,JHARKHAND,2015-16,Cycle 1,Organic Carbon (OC),L,13594,53944,2015,"Financial Year (Apr - Mar), 2015"
276,India,20,JHARKHAND,2015-16,Cycle 1,Phosphorous (P),VL,14363,53944,2015,"Financial Year (Apr - Mar), 2015"
277,India,20,JHARKHAND,2015-16,Cycle 1,Phosphorous (P),L,16267,53944,2015,"Financial Year (Apr - Mar), 2015"
278,India,20,JHARKHAND,2015-16,Cycle 1,Nitrogen (N),M,18934,53944,2015,"Financial Year (Apr - Mar), 2015"
279,India,20,JHARKHAND,2015-16,Cycle 1,Nitrogen (N),L,21130,53944,2015,"Financial Year (Apr - Mar), 2015"
280,India,20,JHARKHAND,2015-16,Cycle 1,Potassium (K),M,21815,53944,2015,"Financial Year (Apr - Mar), 2015"
281,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),VH,114,97201,2015,"Financial Year (Apr - Mar), 2015"
282,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VL,1122,97201,2015,"Financial Year (Apr - Mar), 2015"
283,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),H,3001,97201,2015,"Financial Year (Apr - Mar), 2015"
284,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),VL,4244,97201,2015,"Financial Year (Apr - Mar), 2015"
285,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Potassium (K),VL,4574,97201,2015,"Financial Year (Apr - Mar), 2015"
286,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),VL,5187,97201,2015,"Financial Year (Apr - Mar), 2015"
287,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Potassium (K),VH,5200,97201,2015,"Financial Year (Apr - Mar), 2015"
288,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),L,7417,97201,2015,"Financial Year (Apr - Mar), 2015"
289,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Potassium (K),L,9007,97201,2015,"Financial Year (Apr - Mar), 2015"
290,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),L,12275,97201,2015,"Financial Year (Apr - Mar), 2015"
291,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),VH,12572,97201,2015,"Financial Year (Apr - Mar), 2015"
292,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),H,14704,97201,2015,"Financial Year (Apr - Mar), 2015"
293,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),M,17097,97201,2015,"Financial Year (Apr - Mar), 2015"
294,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),H,20639,97201,2015,"Financial Year (Apr - Mar), 2015"
295,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Potassium (K),H,28938,97201,2015,"Financial Year (Apr - Mar), 2015"
296,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),L,36647,97201,2015,"Financial Year (Apr - Mar), 2015"
297,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),M,49440,97201,2015,"Financial Year (Apr - Mar), 2015"
298,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Potassium (K),M,54879,97201,2015,"Financial Year (Apr - Mar), 2015"
299,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VH,56165,97201,2015,"Financial Year (Apr - Mar), 2015"
300,India,2,HIMACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),M,58812,97201,2015,"Financial Year (Apr - Mar), 2015"
301,India,5,UTTARAKHAND,2015-16,Cycle 1,Nitrogen (N),VH,4,125042,2015,"Financial Year (Apr - Mar), 2015"
302,India,5,UTTARAKHAND,2015-16,Cycle 1,Nitrogen (N),H,9,125042,2015,"Financial Year (Apr - Mar), 2015"
303,India,5,UTTARAKHAND,2015-16,Cycle 1,Nitrogen (N),L,168,125042,2015,"Financial Year (Apr - Mar), 2015"
304,India,5,UTTARAKHAND,2015-16,Cycle 1,Nitrogen (N),M,170,125042,2015,"Financial Year (Apr - Mar), 2015"
305,India,5,UTTARAKHAND,2015-16,Cycle 1,Potassium (K),VH,1221,125042,2015,"Financial Year (Apr - Mar), 2015"
306,India,5,UTTARAKHAND,2015-16,Cycle 1,Potassium (K),VL,4870,125042,2015,"Financial Year (Apr - Mar), 2015"
307,India,5,UTTARAKHAND,2015-16,Cycle 1,Nitrogen (N),VL,8214,125042,2015,"Financial Year (Apr - Mar), 2015"
308,India,5,UTTARAKHAND,2015-16,Cycle 1,Organic Carbon (OC),VL,8692,125042,2015,"Financial Year (Apr - Mar), 2015"
309,India,5,UTTARAKHAND,2015-16,Cycle 1,Phosphorous (P),VH,10335,125042,2015,"Financial Year (Apr - Mar), 2015"
310,India,5,UTTARAKHAND,2015-16,Cycle 1,Organic Carbon (OC),VH,10956,125042,2015,"Financial Year (Apr - Mar), 2015"
311,India,5,UTTARAKHAND,2015-16,Cycle 1,Potassium (K),H,12103,125042,2015,"Financial Year (Apr - Mar), 2015"
312,India,5,UTTARAKHAND,2015-16,Cycle 1,Phosphorous (P),VL,17537,125042,2015,"Financial Year (Apr - Mar), 2015"
313,India,5,UTTARAKHAND,2015-16,Cycle 1,Organic Carbon (OC),H,17876,125042,2015,"Financial Year (Apr - Mar), 2015"
314,India,5,UTTARAKHAND,2015-16,Cycle 1,Phosphorous (P),L,20115,125042,2015,"Financial Year (Apr - Mar), 2015"
315,India,5,UTTARAKHAND,2015-16,Cycle 1,Phosphorous (P),H,21189,125042,2015,"Financial Year (Apr - Mar), 2015"
316,India,5,UTTARAKHAND,2015-16,Cycle 1,Potassium (K),L,32012,125042,2015,"Financial Year (Apr - Mar), 2015"
317,India,5,UTTARAKHAND,2015-16,Cycle 1,Organic Carbon (OC),M,40468,125042,2015,"Financial Year (Apr - Mar), 2015"
318,India,5,UTTARAKHAND,2015-16,Cycle 1,Organic Carbon (OC),L,46815,125042,2015,"Financial Year (Apr - Mar), 2015"
319,India,5,UTTARAKHAND,2015-16,Cycle 1,Phosphorous (P),M,55715,125042,2015,"Financial Year (Apr - Mar), 2015"
320,India,5,UTTARAKHAND,2015-16,Cycle 1,Potassium (K),M,74649,125042,2015,"Financial Year (Apr - Mar), 2015"
321,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Potassium (K),VH,1418,155702,2015,"Financial Year (Apr - Mar), 2015"
322,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Nitrogen (N),VL,4945,155702,2015,"Financial Year (Apr - Mar), 2015"
323,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Phosphorous (P),H,5914,155702,2015,"Financial Year (Apr - Mar), 2015"
324,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Phosphorous (P),VH,6127,155702,2015,"Financial Year (Apr - Mar), 2015"
325,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Organic Carbon (OC),VL,7085,155702,2015,"Financial Year (Apr - Mar), 2015"
326,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Nitrogen (N),VH,8609,155702,2015,"Financial Year (Apr - Mar), 2015"
327,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Nitrogen (N),H,9071,155702,2015,"Financial Year (Apr - Mar), 2015"
328,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Potassium (K),H,9728,155702,2015,"Financial Year (Apr - Mar), 2015"
329,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Potassium (K),VL,16060,155702,2015,"Financial Year (Apr - Mar), 2015"
330,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Nitrogen (N),L,18908,155702,2015,"Financial Year (Apr - Mar), 2015"
331,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Organic Carbon (OC),H,24933,155702,2015,"Financial Year (Apr - Mar), 2015"
332,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Organic Carbon (OC),L,28915,155702,2015,"Financial Year (Apr - Mar), 2015"
333,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Phosphorous (P),VL,30304,155702,2015,"Financial Year (Apr - Mar), 2015"
334,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Organic Carbon (OC),M,37238,155702,2015,"Financial Year (Apr - Mar), 2015"
335,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Potassium (K),L,37819,155702,2015,"Financial Year (Apr - Mar), 2015"
336,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Phosphorous (P),L,46535,155702,2015,"Financial Year (Apr - Mar), 2015"
337,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Nitrogen (N),M,55855,155702,2015,"Financial Year (Apr - Mar), 2015"
338,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Organic Carbon (OC),VH,57647,155702,2015,"Financial Year (Apr - Mar), 2015"
339,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Phosphorous (P),M,67112,155702,2015,"Financial Year (Apr - Mar), 2015"
340,India,1,JAMMU AND KASHMIR,2015-16,Cycle 1,Potassium (K),M,90648,155702,2015,"Financial Year (Apr - Mar), 2015"
341,India,32,KERALA,2015-16,Cycle 1,Nitrogen (N),H,0,190916,2015,"Financial Year (Apr - Mar), 2015"
342,India,32,KERALA,2015-16,Cycle 1,Nitrogen (N),VH,1,190916,2015,"Financial Year (Apr - Mar), 2015"
343,India,32,KERALA,2015-16,Cycle 1,Nitrogen (N),M,62,190916,2015,"Financial Year (Apr - Mar), 2015"
344,India,32,KERALA,2015-16,Cycle 1,Nitrogen (N),L,272,190916,2015,"Financial Year (Apr - Mar), 2015"
345,India,32,KERALA,2015-16,Cycle 1,Nitrogen (N),VL,2702,190916,2015,"Financial Year (Apr - Mar), 2015"
346,India,32,KERALA,2015-16,Cycle 1,Potassium (K),VH,4636,190916,2015,"Financial Year (Apr - Mar), 2015"
347,India,32,KERALA,2015-16,Cycle 1,Organic Carbon (OC),VL,9488,190916,2015,"Financial Year (Apr - Mar), 2015"
348,India,32,KERALA,2015-16,Cycle 1,Phosphorous (P),H,17091,190916,2015,"Financial Year (Apr - Mar), 2015"
349,India,32,KERALA,2015-16,Cycle 1,Phosphorous (P),VH,21693,190916,2015,"Financial Year (Apr - Mar), 2015"
350,India,32,KERALA,2015-16,Cycle 1,Potassium (K),VL,22959,190916,2015,"Financial Year (Apr - Mar), 2015"
351,India,32,KERALA,2015-16,Cycle 1,Organic Carbon (OC),H,29383,190916,2015,"Financial Year (Apr - Mar), 2015"
352,India,32,KERALA,2015-16,Cycle 1,Organic Carbon (OC),L,29872,190916,2015,"Financial Year (Apr - Mar), 2015"
353,India,32,KERALA,2015-16,Cycle 1,Phosphorous (P),L,33112,190916,2015,"Financial Year (Apr - Mar), 2015"
354,India,32,KERALA,2015-16,Cycle 1,Organic Carbon (OC),M,34907,190916,2015,"Financial Year (Apr - Mar), 2015"
355,India,32,KERALA,2015-16,Cycle 1,Phosphorous (P),VL,36594,190916,2015,"Financial Year (Apr - Mar), 2015"
356,India,32,KERALA,2015-16,Cycle 1,Potassium (K),H,37760,190916,2015,"Financial Year (Apr - Mar), 2015"
357,India,32,KERALA,2015-16,Cycle 1,Potassium (K),L,45026,190916,2015,"Financial Year (Apr - Mar), 2015"
358,India,32,KERALA,2015-16,Cycle 1,Potassium (K),M,81160,190916,2015,"Financial Year (Apr - Mar), 2015"
359,India,32,KERALA,2015-16,Cycle 1,Phosphorous (P),M,83054,190916,2015,"Financial Year (Apr - Mar), 2015"
360,India,32,KERALA,2015-16,Cycle 1,Organic Carbon (OC),VH,87372,190916,2015,"Financial Year (Apr - Mar), 2015"
361,India,18,ASSAM,2015-16,Cycle 1,Nitrogen (N),VH,565,216684,2015,"Financial Year (Apr - Mar), 2015"
362,India,18,ASSAM,2015-16,Cycle 1,Potassium (K),VH,902,216684,2015,"Financial Year (Apr - Mar), 2015"
363,India,18,ASSAM,2015-16,Cycle 1,Phosphorous (P),VH,5854,216684,2015,"Financial Year (Apr - Mar), 2015"
364,India,18,ASSAM,2015-16,Cycle 1,Potassium (K),H,6273,216684,2015,"Financial Year (Apr - Mar), 2015"
365,India,18,ASSAM,2015-16,Cycle 1,Organic Carbon (OC),VL,6456,216684,2015,"Financial Year (Apr - Mar), 2015"
366,India,18,ASSAM,2015-16,Cycle 1,Nitrogen (N),VL,6989,216684,2015,"Financial Year (Apr - Mar), 2015"
367,India,18,ASSAM,2015-16,Cycle 1,Phosphorous (P),H,13057,216684,2015,"Financial Year (Apr - Mar), 2015"
368,India,18,ASSAM,2015-16,Cycle 1,Organic Carbon (OC),H,30201,216684,2015,"Financial Year (Apr - Mar), 2015"
369,India,18,ASSAM,2015-16,Cycle 1,Phosphorous (P),M,32612,216684,2015,"Financial Year (Apr - Mar), 2015"
370,India,18,ASSAM,2015-16,Cycle 1,Organic Carbon (OC),L,36414,216684,2015,"Financial Year (Apr - Mar), 2015"
371,India,18,ASSAM,2015-16,Cycle 1,Potassium (K),M,41729,216684,2015,"Financial Year (Apr - Mar), 2015"
372,India,18,ASSAM,2015-16,Cycle 1,Organic Carbon (OC),M,46016,216684,2015,"Financial Year (Apr - Mar), 2015"
373,India,18,ASSAM,2015-16,Cycle 1,Nitrogen (N),M,47196,216684,2015,"Financial Year (Apr - Mar), 2015"
374,India,18,ASSAM,2015-16,Cycle 1,Nitrogen (N),H,56374,216684,2015,"Financial Year (Apr - Mar), 2015"
375,India,18,ASSAM,2015-16,Cycle 1,Phosphorous (P),L,59044,216684,2015,"Financial Year (Apr - Mar), 2015"
376,India,18,ASSAM,2015-16,Cycle 1,Nitrogen (N),L,65038,216684,2015,"Financial Year (Apr - Mar), 2015"
377,India,18,ASSAM,2015-16,Cycle 1,Potassium (K),L,67459,216684,2015,"Financial Year (Apr - Mar), 2015"
378,India,18,ASSAM,2015-16,Cycle 1,Organic Carbon (OC),VH,76462,216684,2015,"Financial Year (Apr - Mar), 2015"
379,India,18,ASSAM,2015-16,Cycle 1,Potassium (K),VL,79122,216684,2015,"Financial Year (Apr - Mar), 2015"
380,India,18,ASSAM,2015-16,Cycle 1,Phosphorous (P),VL,85014,216684,2015,"Financial Year (Apr - Mar), 2015"
381,India,10,BIHAR,2015-16,Cycle 1,Nitrogen (N),H,160,220672,2015,"Financial Year (Apr - Mar), 2015"
382,India,10,BIHAR,2015-16,Cycle 1,Nitrogen (N),VH,213,220672,2015,"Financial Year (Apr - Mar), 2015"
383,India,10,BIHAR,2015-16,Cycle 1,Potassium (K),VH,808,220672,2015,"Financial Year (Apr - Mar), 2015"
384,India,10,BIHAR,2015-16,Cycle 1,Phosphorous (P),VH,1794,220672,2015,"Financial Year (Apr - Mar), 2015"
385,India,10,BIHAR,2015-16,Cycle 1,Nitrogen (N),VL,2061,220672,2015,"Financial Year (Apr - Mar), 2015"
386,India,10,BIHAR,2015-16,Cycle 1,Organic Carbon (OC),VH,4869,220672,2015,"Financial Year (Apr - Mar), 2015"
387,India,10,BIHAR,2015-16,Cycle 1,Potassium (K),H,6438,220672,2015,"Financial Year (Apr - Mar), 2015"
388,India,10,BIHAR,2015-16,Cycle 1,Phosphorous (P),H,9982,220672,2015,"Financial Year (Apr - Mar), 2015"
389,India,10,BIHAR,2015-16,Cycle 1,Organic Carbon (OC),VL,10085,220672,2015,"Financial Year (Apr - Mar), 2015"
390,India,10,BIHAR,2015-16,Cycle 1,Phosphorous (P),VL,22948,220672,2015,"Financial Year (Apr - Mar), 2015"
391,India,10,BIHAR,2015-16,Cycle 1,Potassium (K),VL,27950,220672,2015,"Financial Year (Apr - Mar), 2015"
392,India,10,BIHAR,2015-16,Cycle 1,Phosphorous (P),L,34470,220672,2015,"Financial Year (Apr - Mar), 2015"
393,India,10,BIHAR,2015-16,Cycle 1,Potassium (K),L,34947,220672,2015,"Financial Year (Apr - Mar), 2015"
394,India,10,BIHAR,2015-16,Cycle 1,Organic Carbon (OC),H,41977,220672,2015,"Financial Year (Apr - Mar), 2015"
395,India,10,BIHAR,2015-16,Cycle 1,Nitrogen (N),M,61846,220672,2015,"Financial Year (Apr - Mar), 2015"
396,India,10,BIHAR,2015-16,Cycle 1,Organic Carbon (OC),L,64546,220672,2015,"Financial Year (Apr - Mar), 2015"
397,India,10,BIHAR,2015-16,Cycle 1,Organic Carbon (OC),M,98265,220672,2015,"Financial Year (Apr - Mar), 2015"
398,India,10,BIHAR,2015-16,Cycle 1,Potassium (K),M,149646,220672,2015,"Financial Year (Apr - Mar), 2015"
399,India,10,BIHAR,2015-16,Cycle 1,Phosphorous (P),M,150591,220672,2015,"Financial Year (Apr - Mar), 2015"
400,India,10,BIHAR,2015-16,Cycle 1,Nitrogen (N),L,154517,220672,2015,"Financial Year (Apr - Mar), 2015"
401,India,19,WEST BENGAL,2015-16,Cycle 1,Nitrogen (N),VH,248,271469,2015,"Financial Year (Apr - Mar), 2015"
402,India,19,WEST BENGAL,2015-16,Cycle 1,Phosphorous (P),VL,1031,271469,2015,"Financial Year (Apr - Mar), 2015"
403,India,19,WEST BENGAL,2015-16,Cycle 1,Nitrogen (N),H,3546,271469,2015,"Financial Year (Apr - Mar), 2015"
404,India,19,WEST BENGAL,2015-16,Cycle 1,Potassium (K),VH,5290,271469,2015,"Financial Year (Apr - Mar), 2015"
405,India,19,WEST BENGAL,2015-16,Cycle 1,Phosphorous (P),L,8479,271469,2015,"Financial Year (Apr - Mar), 2015"
406,India,19,WEST BENGAL,2015-16,Cycle 1,Organic Carbon (OC),VH,10052,271469,2015,"Financial Year (Apr - Mar), 2015"
